,offer_id,comparison_new,brand,matches
8,08c47691-4160-41df-81c5-ea108f2ae539,ellesse weiß hollina shirt   legging pyjama nachtwäsche set,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
12,04341c9e-4043-4478-9a64-266ac38480b5,ellesse schwarz nurra fashion trunks 5 pack panties,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
130,81039b44-547f-4c29-93d0-795561118d8b,ellesse dunkelblau tello swim badeshorts,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
144,c3d5210d-b62f-48df-a10a-364554936dbe,ellesse oliv voodoo t shirt print,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
167,d9ca7533-d4ca-492f-9248-730dc0d81ea4,ellesse offwhite frivola pant jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
196,1ddc8a25-e3ec-4945-9e7b-956a20112229,ellesse schwarz verta pom beanie 2 pack unisex mütze,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
200,41549b94-ec0d-41c9-a312-b14e2511ddbb,ellesse schwarz alente t shirt print,ellesse,"[('ellesse schwarz   weiß   schwarz t shirt', 87), ('ellesse schwarz   weiß   schwarz t shirt', 87)]"
219,1d3f33bc-5d2d-43e4-a26a-6d53cba793c1,ellesse grün trelino track pant jogginghose,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   grenadine   mandarine   schwarz sweatshirt', 86)]"
250,10dfd143-bb1c-4a81-a8d1-762c64563ec8,ellesse schwarz pinno pack 3 unisex  socken,ellesse,"[('ellesse schwarz   schwarz socken', 95), ('ellesse schwarz   schwarz socken', 95)]"
353,429548de-bc41-4c2b-b0de-9d97993137f0,ellesse pink freddia langarmshirt,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
356,3a1eb080-70bb-4628-a473-d79c6187a1aa,ellesse weiß ls archivium sneaker low,ellesse,"[('ellesse weiß   weiß sneaker', 95), ('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86)]"
598,1db60718-1513-491f-a50c-0af94733cd77,ellesse grün orellio water reactive paddedjacket trainingsjacke,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse schwarz   weiß   schwarz t shirt', 86)]"
737,45729447-a0f2-4177-9bba-bda96f770788,ellesse weiß volli ankle sock 6 pack unisex socken,ellesse,"[('ellesse weiß   weiß sneaker', 86), ('ellesse burgunder   lila tasche', 86)]"
742,44344ae7-89bd-43b8-98b8-c4b563522f91,ellesse dunkelblau paran poloshirt,ellesse,"[('ellesse weiß   dunkelblau   orange   weiß sportshirt  selvettet ', 86), ('ellesse weiß   himmelblau   mandarine   weiß t shirt   fantucci ', 86)]"
